name,id,sub1,sub2,sub3,marks,percentage,result,course_enrollment_date,study_hrs_per_day,age,grade,random_color,device_id
     ANITA REDDY     ,   1   ,   138   ,   45   ,   72   ,   138+45+72   ,   67.67   ,   Pass   ,   03/12/2019   ,     5.3 hrs    ,   56   ,   B+   ,   green   ,   F65453DD   
      suresh varma      ,    STU-0002    ,   49   ,   ?   ,   70   ,   49+?+70   ,   68.0%   ,   Pass   ,   08-30-2020   ,   0.9   ,   17   ,   B+   ,   blue   ,   2D9EED5F   
     POOJA GUPTA     ,       3        ,   95   ,   39   ,   68   ,   check   ,   67.33   ,   Pass   ,   2021-10-16   ,   6.4   ,   8   ,   Good   ,   None   ,   F86EB409   
     ANITA AGARWAL     ,    STU-0004    ,   55   ,   59   ,   78   ,   55+59+78   ,   64.0   ,   Pass   ,   10-Sep-2020   ,   1.0   ,   19   ,   B+   ,   white   ,   796EE5F1   
      sneha khan      ,     S5X     ,   58   ,   54   ,   46   ,   58+54+46   ,   52.67   ,   Pass   ,"   February 20, 2022   ",   5.6   ,   19   ,   Average   ,   blue   ,   E1D285C3   
     VARUN REDDY     ,    STU-0006    ,   37   ,   34   ,   99   ,   N/A   ,   56.67%   ,   Pass   ,"   December 18, 2018   ",   3.3   ,   16   ,   Average   ,   black   ,   3D424A05   
     RAHUL SHARMA     ,   7   ,   56   ,   94   ,   99   ,   249   ,   83.0   ,   Pass   ,   21/09/2022   ,   4.1   ,   19   ,   None   ,   black   ,   B6A28088   
     ROHIT VARMA     ,     S8X     ,   87   ,   78   ,   94   ,   87+78+94   ,   86.33   ,   Pass   ,   None   ,   7.2   ,     17 years    ,   A+   ,   black   ,   1D9F48B3   
      naveen khan      ,       9        ,   36   ,   32   ,   34   ,   36+32+34   ,   34.0   ,   Fail   ,   03/07/2021   ,   7.1   ,   18   ,   Fail   ,   blue   ,   2588C8C8   
     RAHUL AGARWAL     ,       10        ,   64   ,   74   ,   31   ,   64+74+31   ,   56.33   ,   Pass   ,   03-23-2023   ,   6.5   ,   None   ,   Average   ,   white   ,   9018988A   
      rohit agarwal      ,     id_11    ,   72   ,   -18   ,   51   ,   72+-18+51   ,   55.33   ,   Pass   ,   2020-01-23   ,    two    ,     16 years    ,   C   ,   None   ,   3B9E9219   
     Varun Varma      ,     S12X     ,   -10   ,   59   ,   AB   ,   181   ,   60.33   ,   Pass   ,   21/10/2020   ,   None   ,   16   ,   Good   ,   None   ,   71DBC1EC   
     LOKESH KHAN     ,     id_13    ,   98   ,   150   ,   95   ,   98+150+95   ,   96.67   ,   Pass   ,   06-30-2019   ,   4.1   ,   5   ,   A   ,   black   ,   5636C787   
      suresh reddy      ,     id_14    ,   AB   ,   47   ,   None   ,   186   ,   62.0   ,   Pass   ,   01-09-2022   ,   None   ,   17   ,   B+   ,   white   ,   2B4CCFDE   
      teja patel      ,   None   ,   55   ,   91   ,   80   ,   226   ,   75.33   ,   Pass   ,   None   ,   30.8   ,   17   ,   Distinction   ,   green   ,   id_missing   
     AKASH GOUD     ,    STU-0016    ,   67   ,   66   ,   68   ,   67+66+68   ,   67.0   ,   Pass   ,   06-13-2021   ,   7.8   ,   16   ,   B+   ,   red   ,   ABE0285E   
     VIKRAM VARMA     ,       17        ,   -10   ,   54   ,   69   ,   -10+54+69   ,   71.67   ,   Pass   ,   09/07/2024   ,   7.5   ,     17 years    ,   Good   ,   black   ,   B8E3DCC5   
